id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1407596020226310145,1407590045045956608,2021-06-23 09:06:57 Hora de verano romance,2021-06-23,09:06:57,+0200,2200883187,mikelporto,Mikel Porto,,@SerDeportivosGI @inakimartin8 @gipuzkoabasket @ane_santesteban Martes... Martes 22 😁,fr,[],[],[],0,0,0,[],[],https://twitter.com/MikelPorto/status/1407596020226310145,False,,0,,,,,,,,"[{'screen_name': 'SerDeportivosGI', 'name': 'SER Dept Gipuzkoa', 'id': '851792269'}, {'screen_name': 'inakimartin8', 'name': 'Iñaki Martín', 'id': '1063833246'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'ane_santesteban', 'name': 'ᴀɴᴇ sᴀɴᴛᴇsᴛᴇʙᴀɴ', 'id': '208185550'}]",,,,
1407590045045956608,1407590045045956608,2021-06-23 08:43:13 Hora de verano romance,2021-06-23,08:43:13,+0200,851792269,serdeportivosgi,SER Dept Gipuzkoa,,"📻 Buenos días! Aquí tenéis el PROGRAMA del miércoles 22/6/21  👉Presentación Sielva y Corpas #Eibar 👉#MercadoDeFichajes #RealSociedad 👉Despedida de @inakimartin8 del @gipuzkoabasket  👉@ane_santesteban, cerca de #Tokyo2020 #ciclismo   ▶️  https://t.co/ludV63ba9t  https://t.co/uHgu0s8Mq2",es,"[{'screen_name': 'inakimartin8', 'name': 'iñaki martín', 'id': '1063833246'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}, {'screen_name': 'ane_santesteban', 'name': 'ᴀɴᴇ sᴀɴᴛᴇsᴛᴇʙᴀɴ', 'id': '208185550'}]",['https://play.cadenaser.com/audio/ser_san_sebastian_serdeportivosgipuzkoa_20210622_154500_160000/?ssm=tw'],['https://pbs.twimg.com/media/E4jDrrIWQAUb3hY.jpg'],1,0,1,"['eibar', 'mercadodefichajes', 'realsociedad', 'tokyo2020', 'ciclismo']",[],https://twitter.com/SerDeportivosGI/status/1407590045045956608,False,,1,https://pbs.twimg.com/media/E4jDrrIWQAUb3hY.jpg,,,,,,,[],,,,
1407480248803938305,1407480248803938305,2021-06-23 01:26:55 Hora de verano romance,2021-06-23,01:26:55,+0200,851792269,serdeportivosgi,SER Dept Gipuzkoa,,🎙AUDIO | La despedida de @inakimartin8 del @gipuzkoabasket. #SERPodcast 🎧 #baloncesto   Dale al ▶️  https://t.co/GPPuEnNnGe  https://t.co/SOuPTsHDJL,es,"[{'screen_name': 'inakimartin8', 'name': 'iñaki martín', 'id': '1063833246'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}]",['https://play.cadenaser.com/audio/014RD010000000044512/?ssm=tw'],['https://pbs.twimg.com/media/E4hf002X0AIDAwI.jpg'],0,0,1,"['serpodcast', 'baloncesto']",[],https://twitter.com/SerDeportivosGI/status/1407480248803938305,False,,1,https://pbs.twimg.com/media/E4hf002X0AIDAwI.jpg,,,,,,,[],,,,
1407436348542406657,1406908718957182977,2021-06-22 22:32:29 Hora de verano romance,2021-06-22,22:32:29,+0200,1262105206596210689,middlebobby,Bobby in the Middle,,"@webEncestando @gipuzkoabasket Seguidores del @MovistarEstu, nos ayudáis a llegar a 1000 respuestas en la encuesta de @NuestroEstu antes de la junta de la semana que viene? Sólo lleva un par de minutos  https://t.co/ZPBmfVUot1",es,"[{'screen_name': 'movistarestu', 'name': 'movistar estudiantes', 'id': '19781359'}, {'screen_name': 'nuestroestu', 'name': 'nuestro estu', 'id': '215949792'}]",['https://nuestroestu.es/noticias/encuesta/'],[],0,0,0,[],[],https://twitter.com/MiddleBobby/status/1407436348542406657,False,,0,,,,,,,,"[{'screen_name': 'webEncestando', 'name': 'www.encestando.es', 'id': '991754248571572224'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}]",,,,
1407425939462672386,1407089813556273153,2021-06-22 21:51:07 Hora de verano romance,2021-06-22,21:51:07,+0200,86761884,jorivando,Jorge De Lasala,,"@vitorio12654174 @Armariobasket @gipuzkoabasket @AlexMurphy5 No lo he entendido bien. La temporada pasada estuvo en leb oro con GBC, y esta temporada (la que acaba de terminar) ha estado con Granada. Cuando ha estado por debajo de su nivel?",es,[],[],[],0,0,0,[],[],https://twitter.com/jorivando/status/1407425939462672386,False,,0,,,,,,,,"[{'screen_name': 'vitorio12654174', 'name': 'vitorio', 'id': '1157557668124483584'}, {'screen_name': 'Armariobasket', 'name': 'David Martínez', 'id': '3112303936'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'AlexMurphy5', 'name': 'Alex Murphy', 'id': '136112364'}]",,,,
1407386915586949131,1407089813556273153,2021-06-22 19:16:03 Hora de verano romance,2021-06-22,19:16:03,+0200,1157557668124483584,vitorio12654174,vitorio,,"@Armariobasket @gipuzkoabasket @AlexMurphy5 Jaja  Para mi murphy iba para crack, en gbc y el año pasado en Granada fueron espectaculares Este año, en cambio, muy por debajo de su nivel",es,[],[],[],1,0,1,[],[],https://twitter.com/vitorio12654174/status/1407386915586949131,False,,0,,,,,,,,"[{'screen_name': 'Armariobasket', 'name': 'David Martínez', 'id': '3112303936'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'AlexMurphy5', 'name': 'Alex Murphy', 'id': '136112364'}]",,,,
1407386205252206603,1407089813556273153,2021-06-22 19:13:13 Hora de verano romance,2021-06-22,19:13:13,+0200,3112303936,armariobasket,David Martínez,,@vitorio12654174 @gipuzkoabasket @AlexMurphy5 Ostia 😂 pensaba que me habías comentado en la de Gerun de Breogán!! A este la verdad que no lo tengo muy controlado.,es,[],[],[],1,0,0,[],[],https://twitter.com/Armariobasket/status/1407386205252206603,False,,0,,,,,,,,"[{'screen_name': 'vitorio12654174', 'name': 'vitorio', 'id': '1157557668124483584'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'AlexMurphy5', 'name': 'Alex Murphy', 'id': '136112364'}]",,,,
1407385827148189706,1407089813556273153,2021-06-22 19:11:43 Hora de verano romance,2021-06-22,19:11:43,+0200,1157557668124483584,vitorio12654174,vitorio,,@Armariobasket @gipuzkoabasket @AlexMurphy5 De unicaja? 🤔,es,[],[],[],1,0,0,[],[],https://twitter.com/vitorio12654174/status/1407385827148189706,False,,0,,,,,,,,"[{'screen_name': 'Armariobasket', 'name': 'David Martínez', 'id': '3112303936'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'AlexMurphy5', 'name': 'Alex Murphy', 'id': '136112364'}]",,,,
1407385001147224064,1407089813556273153,2021-06-22 19:08:26 Hora de verano romance,2021-06-22,19:08:26,+0200,3112303936,armariobasket,David Martínez,,"@vitorio12654174 @gipuzkoabasket @AlexMurphy5 Pensaba que lo petaría la verdad, no a gran nivel pero sí para mantenerse en equipos Eurocup, y parece que ha sido salir de Unicaja y desaparecer.",es,[],[],[],1,0,0,[],[],https://twitter.com/Armariobasket/status/1407385001147224064,False,,0,,,,,,,,"[{'screen_name': 'vitorio12654174', 'name': 'vitorio', 'id': '1157557668124483584'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'AlexMurphy5', 'name': 'Alex Murphy', 'id': '136112364'}]",,,,
1407374323518746626,1407325663615500293,2021-06-22 18:26:01 Hora de verano romance,2021-06-22,18:26:01,+0200,369718008,albertoausinss,alberto ausín,,"@BerisAngel @RadioSnSn Una pena, porque creo que podía haber sido un buen entrenador para esta nueva etapa de nuestro @gipuzkoabasket",es,"[{'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}]",[],[],0,0,3,[],[],https://twitter.com/albertoausinSS/status/1407374323518746626,False,,0,,,,,,,,"[{'screen_name': 'BerisAngel', 'name': 'Angel Beristain', 'id': '363773327'}, {'screen_name': 'RadioSnSn', 'name': 'Radio San Sebastián', 'id': '301923958'}]",,,,
1407351040228401158,1407279969152106498,2021-06-22 16:53:29 Hora de verano romance,2021-06-22,16:53:29,+0200,346658664,aitoruriondo,Aitor Uriondo,,@_cbelio @gipuzkoabasket Eskerrik asko Carlos.  Abrazo!!,eu,[],[],[],0,0,2,[],[],https://twitter.com/AITORURIONDO/status/1407351040228401158,False,,0,,,,,,,,"[{'screen_name': '_cbelio', 'name': 'Carlos Belío', 'id': '15996907'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}]",,,,
